[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:36036 NAME:Taskmgr.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:38084 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:10444 NAME:nvcontainer.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:11468 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:19660 NAME:wslhost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:3292 NAME:WmiPrvSE.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:12516 NAME:TextInputHost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:26852 NAME:wsl.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:12520 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:16620 NAME:lghub_system_tray.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:1260 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4336 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:10480 NAME:nvcontainer.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:14592 NAME:steamwebhelper.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4356 NAME:VSSrv.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:35076 NAME:splwow64.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:10504 NAME:nvcontainer.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:26896 NAME:LockApp.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:14612 NAME:Razer Synapse Service Process.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4380 NAME:WifiAutoInstallSrv.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:3356 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:15644 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:2336 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:19752 NAME:OverwolfBrowser.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:1328 NAME:python.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:18744 NAME:backgroundTaskHost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:11576 NAME:StartMenuExperienceHost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:15676 NAME:Discord.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:14656 NAME:steamservice.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:1344 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4420 NAME:MsMpEng.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:12612 NAME:fsnotifier.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:11588 NAME:wslrelay.exe
